"nu","n","M_total","M_valid","success_rate","var_spfd","avg_tau4_sq","R_n","R_n_plot"
4.5,100,10000,10000,1,56.7422476804641,6167.39782632065,1.08691461449527,1.08691461449527
5,100,10000,10000,1,35.591249610594,3841.37240863068,1.07930248323938,1.07930248323938
6,100,10000,10000,1,2.81422749319694,332.666491687945,1.18208813072904,1.18208813072904
7,100,10000,10000,1,1.91025452871939,224.746275069598,1.17652528336244,1.17652528336244
7.5,100,10000,10000,1,0.897902491897908,112.837245905927,1.25667594114168,1.25667594114168
8,100,10000,10000,1,1.11324988055956,134.843833128882,1.21126294719299,1.21126294719299
8.5,100,10000,10000,1,0.615941005707295,79.774327895307,1.29516182809912,1.29516182809912
9,100,10000,10000,1,0.413629563066288,55.3883447402425,1.33908089957695,1.33908089957695
10,100,10000,10000,1,0.39490010831638,52.5294657824193,1.33019628701481,1.33019628701481
12,100,10000,10000,1,0.267039799829393,37.5464087917084,1.40602295297166,1.40602295297166
16,100,10000,10000,1,0.179248207388143,25.4982452252771,1.4225104728698,1.4225104728698
20,100,10000,10000,1,0.141793364382857,21.2410250886951,1.49802673638113,1.49802673638113
30,100,10000,10000,1,0.121471427881108,18.563475173399,1.52821741682071,1.5
